clean_title,clean_content,sentiment
chục cổ phiếu tăng trần khi chứng khoán xanh vỏ đỏ lòng,chứng khoán hôm nay có phần lớn thời gian giữ sắc xanh nhưng biên độ không cao trong phiên chỉ số đại diện sàn hose có hai đợt rung lắc một vào giữa buổi sáng khi về sát tham chiếu còn lại là sau h bị kéo giảm điểm cải thiện trong những phút cuối phiên vn index đóng cửa tiệm cận điểm tăng gần điểm so với hôm qua tuy nhiên thị trường rơi vào trạng thái xanh vỏ đỏ lòng khi lượng cổ phiếu tăng chỉ ghi nhận mã ít hơn so với mã đi lùi chỉ số chung có bệ đỡ từ nhóm ngân hàng trong đó dẫn đầu là vcb trong khi các nhóm có vốn hóa lớn khác thuộc ngành chứng khoán bất động sản thép phân hóa mạnh nhiều mã gặp áp lực điều chỉnh các cổ phiếu có vốn hóa vừa diễn biến khá tiêu cực còn nhóm vốn hóa nhỏ cũng dần hạ nhiệt trong hôm nay tuy vậy sàn hose vẫn ghi nhận mã tăng hết biên độ đều thuộc nhóm kể trên các cổ phiếu này tăng mạnh nhưng thanh khoản nhỏ giọt có mã chỉ khớp lệnh vài triệu đồng st ldg thg hay bbc là những đại diện nổi bật hơn hẳn riêng cổ phiếu tập đoàn st đã được nhuộm sắc tím liên tiếp phiên trong tuần này thị giá đã tích lũy năm trước doanh thu st đạt gần tỷ đồng gấp hơn lần so với năm lợi nhuận sau thuế đạt gần tỷ đồng tăng gần lần so với cùng kỳ công ty ban đầu bán thiết bị văn phòng sau đó lấn sang mảng kinh doanh ôtô trong giai đoạn thành lập honda kim thanh đến năm họ bán hàng loạt công ty con thoái vốn mảng ôtô và chuyển sang bất động sản với dự án trầm hương resorts tuy nhiên nguồn thu chính trong năm trước lại đến từ việc có được nhiều hợp đồng trong lĩnh vực nông sản và các ngành liên quan thanh khoản trở lại diễn biến ngược chiều điểm số tổng giá trị giao dịch trên hose đạt hơn tỷ đồng giảm gần tỷ so với phiên trước nhà đầu tư nước ngoài tiếp tục bán ròng nhưng giá trị chỉ bằng phân nửa hôm qua ghi nhận khoảng tỷ đồng tất đạt,neutral
nhiều doanh nghiệp hủy phát hành thêm cổ phiếu,gần đây công ty cổ phần đầu tư và phát triển bất động sản an gia agg dừng việc chào bán cổ phiếu ra công chúng cho cổ đông hiện hữu để tăng vốn theo kế hoạch ban đầu họ sẽ bán hơn triệu đơn vị tương đương lượng cổ phiếu đang lưu hành với giá đồng số tiền thu về dùng để trả nợ ngân hàng và góp vốn vào công ty con lý do họ hủy phát hành là thị trường chưa phù hợp để chào bán nên khó đảm bảo lợi ích của cổ đông tính khả thi của đợt phát hành tương tự công ty cổ phần chứng khoán nhất việt vfs cũng dừng phát hành thêm cổ phiếu trước đó vfs muốn chào bán triệu cổ phiếu cho cổ đông hiện hữu với giá đồng để thu về tỷ đồng bổ sung vốn cho vay giao dịch ký quỹ và đầu tư tự doanh cổ phiếu và các giấy tờ có giá nhà đầu tư phản ứng trước một phiên chứng khoán giảm điểm hồi tháng ảnh an khương đây không phải là những trường hợp đơn lẻ cùng với lý do thị trường chưa thuận lợi trong nửa cuối nhiều doanh nghiệp đồng loạt hủy phát hành thêm cổ phiếu như dic group dig nam hà nội nha hải phát hpx khối lượng phát hành ban đầu của họ đều trên hàng triệu có doanh nghiệp lên tới hàng trăm triệu cổ phiếu ngoài yếu tố thị trường điểm chung của nhiều kế hoạch phát hành tăng vốn là gặp phải phản ứng trái chiều của cổ đông và nhà đầu tư thể hiện qua việc giá cổ phiếu sụt giảm một số mã nằm sàn ngay khi công bố thông tin thậm chí có cổ phiếu ghi nhận thị giá bốc hơi hai con số sau một tháng cổ phiếu sau phiên sau tuần sau tháng dig nha hpx vfs agg dxg nkg tại diễn đàn m a việt nam tổ chức hồi cuối tháng ông dominic scriven chủ tịch dragon capital việt nam từng nói một trong những rào cản của thị trường vốn và m a là lòng tin giữa người bán và mua theo ông dominic scriven niềm tin vào thị trường đang khá yếu minh chứng rõ nhất là nhà đầu tư nước ngoài rút ròng liên tục với khối lượng lớn năm ngoái khối ngoại bán ròng hơn tỷ đồng trên sàn hose tương đương hơn tỷ usd nếu tính toàn thị trường chứng khoán con số này vượt tỷ đồng đây là mức kỷ lục trong lịch sử thị trường chứng khoán việt nam từ đầu năm đến nay nhóm này cũng có nhiều đợt xả hàng liên tiếp lũy kế đến phiên giá trị bán ròng của họ trên sàn hose lên tới tỷ đồng áp lực bán ròng của khối ngoại câu chuyện lãi suất và tỷ giá có dấu hiệu dâng lên cùng ảnh hưởng từ thị trường quốc tế đã khiến chứng khoán gần như đi ngang suốt từ cuối năm đến nay vn index chủ yếu dùng dằng quanh khu vực điểm với thanh khoản nhỏ giọt theo thống kê của ssi research tổng giá trị khớp lệnh bình quân trên sàn hose chỉ còn tỷ đồng mỗi phiên trong tháng thấp hơn so với cùng kỳ và mức bình quân năm nhà đầu tư vẫn giữ tâm lý thận trọng phần lớn họ chọn đứng ngoài quan sát hoặc dịch chuyển sang các kênh tài sản khác có hiệu suất và diễn biến sôi động hơn tuy nhiên về dài hạn thị trường được nhiều bên dự báo lạc quan với vn index có thể thiết lập thành công mốc điểm các yếu tố hỗ trợ đến từ nền kinh tế với kế hoạch tăng trưởng ít nhất lãi suất nhích lên nhưng giữ ổn định câu chuyện nâng hạng thị trường đến gần nền định giá vẫn rẻ so với lịch sử và các nước trong khu vực trường hợp thị trường nâng hạng thành công trong năm nay nhóm phân tích từ chứng khoán acb acbs dự báo có khoảng mã chứng khoán đủ điều kiện vào danh mục của ftse kéo theo đó thị trường có thể đón khoảng triệu usd từ quỹ chỉ số thụ động của vanguard ftse emerging markets etf quỹ lớn nhất đang theo dõi chỉ số này ngoài ra theo ước tính của ftse russell một trong ba công ty cung cấp chỉ số hàng đầu thế giới tổng vốn từ các quỹ chủ động và bị động đạt khoảng tỷ usd thị trường với các trợ lực tăng trưởng mạnh mẽ sẽ thuận lợi hơn cho doanh nghiệp khi phát hành cổ phiếu giao dịch của nhà đầu tư tất đạt,negative
cổ phiếu novaland tăng kịch trần,nvl đi trên tham chiếu cả ngày sau phiên ato thị giá cổ phiếu này tăng một mạch kiểm tra sắc tím chỉ sau hơn phút đạt đồng sau đó lực bán chực chờ xuất hiện khiến mã này giằng quanh khu vực mệnh giá diễn biến này tiếp tục trong buổi chiều trước khi lực mua xuất hiện ổn định giúp nvl kết phiên ở giá trần cổ phiếu novaland góp mặt trong top mã ảnh hưởng tích cực nhất đến vn index hôm nay thanh khoản ghi nhận gần tỷ đồng tương đương hơn triệu cổ phiếu được sang tay con số này tăng khoảng so với mức trung bình một năm gần đây về cuối phiên nvl trắng bên bán trong khi dư mua hơn triệu đơn vị như vậy cổ phiếu novaland đã về lại khu vực mệnh giá sau gần một tháng rưỡi thủng mốc đồng ở phiên nvl giảm về đồng một đơn vị sau đó chỉnh dần về vùng đồng mức thấp nhất lịch sử giao dịch dự án lakeview city tp thủ đức tp hcm nhìn từ trên cao ảnh quỳnh trần cổ phiếu này phục hồi sau khi novaland đón nhiều thông tin tích cực trong nghị quyết mới đây của quốc hội các dự án tại tp hcm của doanh nghiệp này gồm the tresor quận the water bay và lakeview city tp thủ đức được áp dụng cơ chế và chính sách đặc thù để gỡ vướng về giá đất tính thu tiền sử dụng đất tiền thuê đất đây là dự án mắc điểm nghẽn về pháp lý của công ty suốt nhiều năm qua đầu tháng novaland cho biết sẽ bắt đầu bàn giao giấy chứng nhận quyền sử dụng đất quyền sở hữu tài sản gắn liền với đất sổ hồng cho dự án the sun avenue tp thủ đức trong quý i dự án này có sản phẩm đã hoàn thành và bàn giao cho cư dân từ quý iii trước đó chủ đầu tư này cho biết đang cấp sổ hồng cho căn tại dự án kingston residences phú nhuận gần căn tại sunrise riverside nhà bè và nhà thấp tầng ở victoria village tp thủ đức nvl là một trong cổ phiếu tăng trần trên sàn hose hôm nay chứng khoán tiếp tục có một phần phục hồi khi giữ sắc xanh cả ngày vn index đóng cửa ở sát điểm tích lũy thêm hơn điểm tuy nhiên số lượng cổ phiếu tăng không quá chênh lệch so với cổ phiếu giảm lần lượt là mã và mã tài nguyên hóa chất và bất động sản là những nhóm có hiệu suất tốt nhất hôm nay trong đó đóng góp nhiều nhất cho chỉ số chung là vhm thanh khoản giảm nhẹ tỷ về gần tỷ đồng trừ nhóm bluechip phần lớn cổ phiếu rơi vào tình trạng giằng co giữa bên bán và mua suốt phiên chỉ sau một phiên ưu tiên gom hàng vào hôm qua khối ngoại đã đảo chiều bán ròng khoảng tỷ đồng fpt bị bán ròng mạnh nhất với hơn tỷ đồng tất đạt,positive
lãnh đạo liên tục xả cổ phiếu ksv khi giá tăng lần,những ngày qua ba lãnh đạo của tổng công ty khoáng sản tkv vimico ksv đều đăng ký bán cổ phiếu cuối tuần trước ông đặng đức hưng ủy viên hội đồng quản trị đăng ký bán cổ phiếu cùng lúc phó tổng giám đốc ngô quốc trung cũng muốn bán đơn vị đến hôm qua tổng giám đốc trịnh văn tuệ đăng ký bán tới cổ phiếu ksv tổng cộng ba lãnh đạo này dự kiến xả ra cổ phiếu thời gian dự kiến của các giao dịch là từ tuần này cho đến khoảng cuối tháng theo phương thức thỏa thuận hoặc khớp lệnh ba lãnh đạo đều nêu chung mục đích thực hiện là đầu tư cá nhân động thái kể trên diễn ra giữa lúc giá thị trường của cổ phiếu vimico leo đỉnh đóng cửa phiên sáng nay ksv đạt đồng tăng so với hôm qua trước đó ở phiên cổ phiếu này lập đỉnh với đồng một đơn vị tăng gần so với đầu năm nếu tính từ đầu thị giá mã này đã được nhân hơn lần tuy nhiên thanh khoản của ksv khá nhỏ giọt từ đầu năm tới nay chỉ quanh vài chục tỷ đồng mỗi phiên điều này phần nào đến từ cơ cấu cổ đông quá cô đặc của doanh nghiệp theo báo cáo thường niên năm tổng tỷ lệ sở hữu của các cán bộ quản lý chiếm gần trong đó ông nguyễn văn hải chủ tịch hội đồng quản trị sở hữu khoảng chỉ số ít cổ phần do các cổ đông nhỏ lẻ nắm giữ ksv nổi sóng trong bối cảnh nhóm cổ phiếu khoáng sản hưởng lợi nhờ nhu cầu tăng mạnh khi trung quốc cấm xuất khẩu sản phẩm liên quan đến chất bán dẫn gồm gallium germanium antimony sang mỹ với lý do an ninh đây đều là các vật liệu quan trọng cho ngành quân sự và công nghệ cao ngay sau đó giá các loại khoáng sản quan trọng kể trên tăng phi mã không chỉ ksv nhiều cổ phiếu chung ngành cũng tích lũy thị giá liên tục như msr hgm aah bmc với những mã trên sàn upcom biên độ dao động lên tới mỗi phiên đẩy một số cổ phiếu nhân gấp lần chỉ trong thời gian ngắn tuy nhiên những phiên gần đây nhóm này bị chốt lời mạnh có lúc nằm sàn và trắng bên mua riêng ksv mã này giảm hết biên độ hai phiên liên tiếp trong đầu tuần này về tình hình kinh doanh vimico có năm ghi nhận kết quả kỷ lục trong doanh thu lập đỉnh hơn tỷ đồng tăng hơn lợi nhuận sau thuế nhân lên gấp lần đạt hơn tỷ đồng cao nhất lịch sử hoạt động tất đạt,negative
công ty chứng khoán thuộc nhóm flc bị đình chỉ mua chứng khoán,sở giao dịch chứng khoán việt nam vnx vừa đình chỉ một phần hoạt động giao dịch với công ty cổ phần chứng khoán bos art các hoạt động bao gồm mua chứng khoán trên thị trường niêm yết và thị trường đăng ký giao dịch tại sở giao dịch chứng khoán tp hcm hose và sở giao dịch chứng khoán hà nội hnx nguyên nhân là doanh nghiệp này bị ủy ban chứng khoán nhà nước ssc đặt vào tình trạng kiểm soát trước đó vào tháng bos bị kiểm soát do không đáp ứng chỉ tiêu an toàn tài chính theo quyết định mới công ty sẽ bị đình chỉ mua chứng khoán từ ngày đến khi thoát khỏi tình trạng trên chứng khoán bos tiền thân là chứng khoán artex thành lập năm doanh nghiệp này được biết đến là công ty liên quan đến nhiều lãnh đạo flc thời gian qua bos nhận nhiều án phạt tháng công ty bị phạt hơn tỷ đồng do những vi phạm về giấu thông tin giao dịch với nhóm cá nhân người nhà flc khoảng tháng sau họ đã bị ssc thu hồi chứng nhận đủ điều kiện kinh doanh chứng khoán phái sinh và cung cấp dịch vụ bù trừ thanh toán chứng khoán phái sinh đến tháng bos bị phạt triệu đồng do báo cáo sai tỷ lệ vốn khả dụng đối với các báo cáo tỷ lệ an toàn tài chính từ tháng và báo cáo tỷ lệ an toàn tài chính tại ngày đã được soát xét sau vụ án thao túng chứng khoán của ông trịnh văn quyết khi còn làm chủ tịch hội đồng quản trị flc bos kinh doanh chật vật năm trước công ty chỉ có hơn triệu đồng doanh thu mức thấp kỷ lục trong lịch sử hoạt động họ lỗ năm thứ liên tiếp với mức lợi nhuận lũy kế âm tỷ đồng gấp lần vốn chủ sở hữu tất đạt,negative
loạt cổ phiếu tăng trần khối ngoại mua ròng trở lại,thị trường chứng khoán có một phiên giao dịch hứng khởi chỉ số đại diện sàn hose đi trên tham chiếu cả ngày buổi sáng thị trường di chuyển khá chậm có lúc kiểm tra vùng tham chiếu nhưng sớm được nâng đỡ lên mức cao hơn sang buổi chiều chỉ số chung giữ đà tích cực vn index chốt phiên trên điểm tích lũy hơn điểm so với phiên trước đây là mức tăng mạnh nhất tuần qua sàn hose có cổ phiếu xanh nhiều gấp lần so với lượng cổ phiếu giảm trong đó thị trường ghi nhận mã tím trần bên cạnh các cổ phiếu với thanh khoản nhỏ giọt hôm nay có thêm một số đại diện được sang tay với giá trị lớn như tch ree hay sip saigon vrg sip vừa được chấp nhận chủ trương đầu tư dự án xây dựng và kinh doanh kết cấu hạ tầng khu công nghiệp long đức giai đoạn có diện tích gần ha tại đồng nai còn tài chính huy hoàng tch báo lãi sau thuế khoảng tỷ đồng trong tháng đầu niên độ tăng so với cùng kỳ và vượt kế hoạch cả niên độ loạt cổ phiếu tăng trần trên sàn hose trong phiên ảnh tất đạt riêng ree mã bluechip này đã không có phiên nào tăng trần trong gần năm qua lần cuối được ghi nhận là cuối tháng hôm nay hơn triệu cổ phiếu được sang tay gấp lần mức bình quân tuần qua chốt phiên ree còn dư mua gần cổ phiếu và trắng bên bán doanh nghiệp này dự kiến thay đổi nhân sự cấp cao trước thềm đại hội cổ đông thường niên thành viên huỳnh thanh hải từ nhiệm nên hội đồng quản trị ree đang nhận hồ sơ ứng cử đề cử nhân sự bổ sung điểm tích cực khác trong phiên hôm nay là thanh khoản diễn biến cùng chiều tổng giá trị giao dịch sàn hose ghi nhận gần tỷ đồng tăng hơn tỷ đáng chú ý khối ngoại hôm nay mua ròng khoảng tỷ đồng đây là lần đầu tiên nhà đầu tư nước ngoài ưu tiên gom hàng sau bán ròng liên tiếp với giá trị lũy kế hơn tỷ đồng ocb tch fpt sip hay dbc là những mã hút dòng tiền của họ nhiều nhất hôm nay tất đạt,positive
đơn vị điều hành hose và hnx ước lãi kỷ lục,trong báo cáo kết quả kinh doanh gửi bộ tài chính vnx công ty mẹ của sở giao dịch tp hcm hose và sở giao dịch chứng khoán hà nội hnx ước tính tổng doanh thu năm ngoái xấp xỉ tỷ đồng hose đóng góp khoảng tỷ đồng trong số này còn hnx mang về tỷ đồng khoảng tỷ đồng còn lại đến từ hoạt động nghiệp vụ và tài chính sau khi trừ chi phí vnx tạm tính lãi sau thuế đạt tỷ đồng tăng mạnh so với mức tỷ đồng của năm đây là mức cao nhất từ khi doanh nghiệp này bắt đầu hoạt động cách đây năm trên cơ sở hợp nhất hose và hnx so với giai đoạn khi vn index đang trong xu hướng tăng giá mạnh uptrend lên vùng đỉnh điểm mức lãi này cũng cao hơn kết quả ước tính vượt cả chỉ tiêu kinh doanh cũ và mới cập nhật theo ý kiến của bộ tài chính đơn vị đại diện nhà nước sở hữu vốn tại vnx cụ thể đầu năm ngoái vnx trình bộ tài chính mục tiêu lãi sau thuế hợp nhất tỷ đồng công ty điều chỉnh tăng đáng kể lên tỷ đồng vào cuối năm vnx chính thức hoạt động từ giữa theo mô hình công ty mẹ và công ty con việc hợp nhất hose và hnx trở thành công ty con nhằm thống nhất về mô hình tổ chức cơ chế chính sách tư duy phát triển và hạ tầng công nghệ thông tin để phục vụ thị trường kết quả kinh doanh của vnx khởi sắc nhờ thanh khoản thị trường chứng khoán năm ngoái tăng trưởng chữ số thanh khoản chứng khoán chênh lệch lớn trong nửa đầu và cuối năm tuy nhiên theo công ty chứng khoán rồng việt tính chung giá trị giao dịch bình quân mỗi phiên trên ba sàn hose hnx và upcom vẫn đạt hơn tỷ đồng tăng so với năm trước yếu tố khác góp phần vào khoản lãi đậm của vnx là số lượng tài khoản mở mới tăng mạnh theo thống kê của trung tâm lưu ký chứng khoán việt nam năm ngoái thị trường đón triệu tài khoản mới tức mỗi tháng bình quân có thêm tài khoản tham gia thị trường đây là năm có mức tăng trưởng tài khoản mở mới cao thứ hai trong lịch sử chỉ sau năm trong lễ đánh cồng đầu xuân thứ trưởng tài chính nguyễn đức chi yêu cầu ngành chứng khoán năm nay đặt trọng tâm vận hành hệ thống ổn định thông suốt tránh tình trạng lỗi chậm theo ông hệ thống công nghệ thông tin mới krx đã đi tới bước thử nghiệm cuối cùng và quyết tâm vận hành ngay trong năm nay điều này sẽ giúp ngành chứng khoán không còn bị phàn nàn chậm thế hay lâu thế và không để nhà đầu tư doanh nghiệp mất cơ hội giao dịch huy động vốn ông chi cũng nhấn mạnh không thể trì hoãn thêm việc nâng hạng ông đề nghị cơ quan quản lý lẫn các doanh nghiệp niêm yết cần có trách nhiệm và thực thi nhanh các quy định để tránh bỏ lỡ cơ hội thu hút thêm nguồn vốn khi chứng khoán việt nam trở thành thị trường mới nổi phương đông,positive
khối ngoại giảm mạnh bán ròng,trong buổi sáng diễn biến dòng tiền của khối ngoại chủ yếu nghiêng về bên bán khi lực xả cổ phiếu được đưa ra dồn dập lấn át hoàn toàn bên mua tuy nhiên gần sát giờ nghỉ trưa lực cung bắt đầu co hẹp và cân bằng hơn với lực cầu sang buổi chiều nhà đầu tư nước ngoài vẫn tiếp tục bán ra cổ phiếu nhưng áp lực giảm chỉ bằng một nửa ở chiều ngược lại nhóm lại tăng giải ngân hơn hẳn buổi sáng nhất là trong phiên atc tổng lại khối ngoại hôm nay bán ròng hơn tỷ đồng trên sàn hose chưa bằng một phần tư so với phiên trước đây cũng là mức thấp nhất trong hơn một tháng qua không có cổ phiếu nào ghi nhận giá trị bán ròng trên trăm tỷ lớn nhất là mwg gần tỷ đồng và gmd hơn tỷ đồng ngược lại nhà đầu tư nước ngoài mua ròng đáng kể với vci gần tỷ đồng và hpg hơn tỷ đồng cổ phiếu hòa phát hôm nay còn vươn lên thành mã đóng góp tích cực thứ cho chỉ số chung khối ngoại giảm lực bán ròng trong phiên chứng khoán cải thiện khá tốt vn index phần lớn thời gian đi trên tham chiếu trong buổi sáng chỉ số có lúc tăng hơn điểm trước khi hạ nhiệt và đi ngang đến lúc kết phiên vn index đóng cửa trên điểm tích lũy hơn điểm toàn sàn hose có cổ phiếu tăng gần gấp đôi lượng cổ phiếu giảm trong đó mã tăng kịch trần nhóm vốn hóa vừa và nhỏ tiếp tục chiếm đa số bvh là trường hợp ngoại lệ duy nhất ghi nhận thanh khoản hơn tỷ đồng và trở thành cổ phiếu góp mức tăng nhiều nhất cho thị trường tuy nhiên thanh khoản lại ngược chiều điểm số tổng giá trị giao dịch hôm nay giảm hơn tỷ về gần tỷ đồng dòng tiền vẫn chưa hồi phục tốt trong giai đoạn thị trường thiếu vắng động lực đủ hấp dẫn nhà đầu tư theo dự báo của ông trần hoàng sơn giám đốc chiến lược thị trường chứng khoán vpbank vpbanks trong giai đoạn đầu năm vn index có thể tiếp tục đà tăng và có những nhịp bật lên điểm nhưng sau đó rất có thể chỉ số này sẽ điều chỉnh trở lại bởi đến nay dù có rất nhiều thông tin tích cực nhiều nhóm ngành tăng trưởng tốt thanh khoản vẫn chưa thể đảm bảo giữ vững nhịp tăng mạnh còn về yếu tố thông tin nhà đầu tư cần chờ thêm những tin tức về tăng trưởng tín dụng hay kịch bản về nâng hạng do đó chuyên gia này cho rằng giai đoạn tích cực nhất có thể sau quý ii khi yếu tố nâng hạng sẽ kích hoạt và giúp chỉ số vượt qua ngưỡng điểm một cách mạnh mẽ hơn tất đạt,negative
cổ phiếu vừa và nhỏ tiếp tục nổi sóng,vn index hôm nay biến động nhẹ quanh tham chiếu phần lớn thời gian giao dịch chỉ số này đạt sắc xanh buổi sáng chứng khoán chỉ rung lắc ngắn sau h buổi chiều lực bán xuất hiện dày hơn trước phiên atc mới kéo thị trường về dưới tham chiếu chốt phiên vn index giảm hơn điểm về sát điểm toàn sàn có cổ phiếu đi lùi ở chiều ngược lại ghi nhận cổ phiếu tăng riêng rổ vn có tới mã giảm kéo chỉ số đại diện rơi hơn điểm thị trường nhìn chung xấu đi nhưng sàn hose có cổ phiếu tím trần chủ yếu rơi vào nhóm vốn hóa vừa và nhỏ nổi bật nhất là mã evf khi có thanh khoản hơn tỷ đồng xếp thứ toàn sàn một số cổ phiếu được giao dịch khá tốt còn có gee vto bmc khi thanh khoản ghi nhận hàng chục tỷ đồng những phiên gần đây dòng tiền có xu hướng tìm về những mã có câu chuyện riêng nhiều mã vừa và nhỏ ngược dòng thị trường liên tục tăng hết biên độ những mã cổ phiếu tăng kịch trần trong phiên hôm nay ảnh tất đạt bình luận với vnexpress về chứng khoán thời gian qua ông phạm hoàng ân trưởng phòng phân tích của chứng khoán thành công tcsc về cơ bản thị trường vẫn đang ở trong một biên sideway đi ngang điểm từ hơn năm qua tuy nhiên cơ hội cũng như rủi ro đều tồn tại đồng thời khi cũng có những mã đang tìm về đáy lịch sử song vẫn ghi nhận nhiều cổ phiếu đã vượt đỉnh mọi thời đại trưởng phòng phân tích của tcsc cho rằng quãng thời gian sắp tới sẽ tương đối khó lường trước những diễn biến nhanh chóng trên thị trường thế giới xoay quanh những quyết sách của tổng thống mỹ donald trump do đó ông khuyên nhà đầu tư cần nhạy bén và quyết đoán trong việc đưa ra quyết định tránh bảo thủ khi chứng khoán đang có xu hướng đảo chiều nhanh chóng chuyên gia gợi ý một trạng thái tích cực trung lập không quá bi quan cũng không quá chủ quan sẽ là kim chỉ nam giúp nhà đầu tư có hiệu quả đầu tư trong giai đoạn hiện tại ông hoàng ân khuyến nghị trong bối cảnh vẫn còn nhiều sự không chắc chắn trong tương lai và áp lực bán ròng mạnh của khối ngoại nhà đầu tư nên tập trung vào các cổ phiếu có nền tảng cơ bản có câu chuyện riêng thay vì quan ngại thị trường đang ở vùng nào trong phiên điểm số giảm sút thanh khoản lại đi lên tổng giá trị giao dịch sàn hose đạt gần tỷ cải thiện hơn tỷ đồng tuy nhiên thị trường nghiêng về bên bán thêm vào đó khối ngoại bán ròng khoảng tỷ đồng gấp hơn lần cuối tuần trước nhà đầu tư nước ngoài đã kéo dài xu hướng xả cổ phiếu lên phiên thứ liên tiếp tất đạt,neutral
cổ phiếu vietnam airlines tăng trần,buổi sáng thị giá hvn nhích nhẹ trên tham chiếu với khối lượng giao dịch khá mỏng sau h mã chứng khoán của vietnam airlines bắt đầu ghi nhận lực mua lớn kéo giá thị trường lên cao vào phiên atc cổ phiếu này đạt mức trần đồng và duy trì đến lúc đóng cửa hvn đứng thứ hai trong top mã đóng góp tích cực nhất cho chỉ số chung thanh khoản cả ngày ghi nhận gần tỷ đồng tương đương hơn triệu đơn vị được sang tay hơn khớp lệnh đến từ bên mua chủ động cổ phiếu này chốt phiên còn dư mua khoảng triệu cổ phiếu máy bay của vietnam airlines ảnh vna vietnam airlines gần đây mở đường bay thẳng từ tp hcm tới bắc kinh trung quốc qua sân bay lớn nhất thế giới bắc kinh đại hưng vietnam airlines vừa có lần thứ hai dời phiên họp bất thường dự kiến thông qua phương án phát hành cổ phần để tăng vốn điều lệ cũng như cập nhật đề án cơ cấu trước đó quốc hội đã chấp thuận phương án tăng vốn cho hvn thêm tỷ đồng tính chung cả năm vietnam airlines có tổng doanh thu tỷ đồng và lợi nhuận sau thuế tỷ đồng đây đều là mức cao nhất trong lịch sử hoạt động dù trước đó họ đã có năm thua lỗ liên tục hvn là một trong cổ phiếu được nhuộm tím trên sàn hose ngoài ra evf cũng là mã nổi bật với thanh khoản hơn tỷ đồng nhiều cổ phiếu tăng mạnh trong phiên chứng khoán diễn biến tích cực trở lại vn index giữ sắc xanh cả ngày và chốt phiên tăng gần điểm lên trên điểm nhóm bluechip tiếp tục làm trụ cột với bid gvr fpt gas thanh khoản diễn biến cùng chiều với điểm số tổng giá trị giao dịch đạt gần tỷ đồng tăng thêm hơn tỷ đồng khối ngoại duy trì đà xả hàng lên phiên thứ nhưng hôm nay giá trị bán ròng giảm về khoảng tỷ đồng thấp nhất đợt này tất đạt,positive
